"AAMRANET","aamra networks limited"
"AAMRATECH","aamra technologies limited"
"ABB1STMF","AB Bank 1st Mutual fund"
"ABBANK","AB Bank Limited"
"ACI","ACI Limited"
"ACIFORMULA","ACI Formulations Limited"
"ACMELAB","The ACME Laboratories Limited"
"ACTIVEFINE","Active Fine Chemicals Limited"
"ADVENT","Advent Pharma Limited"
"AFCAGRO","AFC Agro Biotech Ltd."
"AFTABAUTO","Aftab Automobiles Limited"
"AGNISYSL","Agni Systems Ltd."
"AGRANINS","Agrani Insurance Co. Ltd."
"AIBL1STIMF","AIBL 1st Islamic Mutual Fund"
"AIL","Alif Industries Limited"
"AL-HAJTEX","Al-Haj Textile Mills Limited"
"ALARABANK","Al-Arafah Islami Bank Ltd"
"ALIF","Alif Manufacturing Company Ltd."
"ALLTEX","Alltex Industries Ltd."
"AMANFEED","Aman Feed Limited"
"AMBEEPHA","Ambee Pharmaceuticals Ltd."
"AMCL(PRAN)","Agricultural Marketing Company Ltd. (Pran)"
"ANLIMAYARN","Anlimayarn Deying Ltd."
"ANWARGALV","Anwar Galvanizing Ltd."
"APEXFOODS","Apex Foods Limited"
"APEXFOOT","Apex Footwear Limited."
"APEXSPINN","Apex Spinning & Knitting Mills Limited"
"APEXTANRY","Apex Tannery Limited"
"APOLOISPAT","Appollo Ispat Complex Limited"
"ARAMIT","Aramit Limited"
"ARAMITCEM","Aramit Cement Limited"
"ARGONDENIM","Argon Denims Limited"
"ASIAINS","Asia Insurance Limited"
"ASIAPACINS","Asia Pacific General Insurance Co. Ltd."
"ATCSLGF","Asian Tiger Sandhani Life Growth Fund"
"ATLASBANG","Atlas Bangladesh Ltd."
"AZIZPIPES","Aziz Pipes Ltd."
"BANGAS","Bangas Ltd."
"BANKASIA","Bank Asia Ltd."
"BARKAPOWER","Baraka Power Limited"
"BATASHOE","Bata Shoe Company (Bangladesh) Limited"
"BATBC","British American Tobacco bangladesh Company Limited"
"BAYLEASING","Bay Leasing & Investment Limited"
"BBS","Bangladesh Building Systems Ltd."
"BBSCABLES"," BBS Cables Limited"
"BDAUTOCA","Bangladesh Autocars Ltd."
"BDCOM","BDCOM Online Ltd."
"BDFINANCE","Bangladesh Finance and Investment Co.Ltd"
"BDLAMPS","Bangladesh Lamps Limited"
"BDSERVICE","Bangladesh Services Ltd."
"BDTHAI","Bd.Thai Aluminium Ltd."
"BDWELDING","Bangladesh Welding Electrodes Ltd."
"BEACHHATCH","Beach Hatchery Ltd."
"BEACONPHAR","Beacon Pharmaceuticals Limited"
"BENGALWTL","Bengal Windsor Thermoplastics Ltd."
"BERGERPBL","Berger Paints Bangladesh Ltd."
"BEXIMCO","Bangladesh Export Import Company Ltd."
"BGIC","Bangladesh General Insurance Company Ltd."
"BIFC","Bangladesh Industrial Fin. Co. Ltd."
"BNICL","Bangladesh National Insurance Company Limited"
"BRACBANK","BRAC Bank Ltd."
"BSC","Bangladesh Shipping Corporation"
"BSCCL","Bangladesh Submarine Cable Company Limited"
"BSRMLTD","Bangladesh Steel Re-Rolling Mills Limited"
"BSRMSTEEL","BSRM Steels Limited"
"BXPHARMA","Beximco Pharmaceuticals Ltd."
"BXSYNTH","Beximco Synthetics Ltd."
"CAPMBDBLMF","CAPM BDBL Mutual Fund 01"
"CAPMIBBLMF","CAPM IBBL Islamic Mutual Fund"
"CENTRALINS","Central Insurance Company Ltd."
"CENTRALPHL","Central Pharmaceuticals Limited"
"CITYBANK","The City Bank Ltd."
"CITYGENINS","City General Insurance Co. Ltd."
"CNATEX","C & A Textiles Limited"
"CONFIDCEM","Confidence Cement Ltd."
"CONTININS","Continental Insurance Ltd."
"CVOPRL","CVO Petrochemical Refinery Limited"
"DACCADYE","The Dacca Dyeing & Manufacturing Co.Ltd."
"DAFODILCOM","Daffodil Computers Ltd."
"DBH","Delta Brac Housing Finance Corp. Ltd."
"DBH1STMF","DBH First Mutual Fund"
"DEBARACEM","Aramit Cement Ltd.(Deb-14%)"
"DEBBDLUGG","Bangladesh Luggage Ind. Ltd.(Deb-14%)"
"DEBBDWELD","BD Welding Electrodes Ltd.(Deb-15%)"
"DEBBDZIPP","Bangladesh Zipper Ind. Ltd.(Deb-14%)"
"DEBBXDENIM","Beximco Denims Ltd.(Deb-14%)"
"DEBBXFISH","Beximco Fisheries Ltd.(Deb-14%)"
"DEBBXKNI","Beximco Knitting Ltd.(Deb-14%)"
"DEBBXTEX","Beximco Textiles Ltd.(Deb-14%)"
"DELTALIFE","Delta Life Insurance Company Ltd."
"DELTASPINN","Delta Spinners Ltd."
"DESCO","Dhaka Electric Supply Company Ltd."
"DESHBANDHU","Deshbandhu Polymer Limited"
"DHAKABANK","Dhaka Bank Ltd."
"DHAKAINS","Dhaka Insurance Limited"
"DOREENPWR","Doreen Power Generations and Systems Limited"
"DSHGARME","Desh Garmants Ltd."
"DSSL","Dragon Sweater and Spinning Limited"
